n04403638	telescope, scope
n07734292	cherry tomato
n04098513	rocker
n12421137	hippeastrum, Hippeastrum puniceum
n03642806	laptop, laptop computer
n07737745	peanut, earthnut, goober, goober pea, groundnut, monkey nut
n02124484	Manx, Manx cat
n07895839	Merlot
n04523831	vault, bank vault
n13185269	deer fern, Blechnum spicant
n07723559	lettuce
n09913455	cheerleader
n10393909	painter
n04360798	support column
n02310717	woolly bear, woolly bear caterpillar
n03018209	china
n04061681	reception desk
n01482330	shark
n01563945	goldcrest, golden-crested kinglet, Regulus regulus
n02109811	sled dog, sledge dog
n07907037	firewater
n01751472	taipan, Oxyuranus scutellatus
n02688273	air filter, air cleaner
n04409128	tender, ship's boat, pinnace, cutter
n03395859	Fresnel lens
n02509815	lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens
n02086910	papillon
n01558594	blackbird, merl, merle, ouzel, ousel, European blackbird, Turdus merula
n03520493	hijab
n03007591	character printer, character-at-a-time printer, serial printer
n03207630	dish rack
n02003204	marabou, marabout, marabou stork, Leptoptilus crumeniferus
n10509063	reading teacher
n12133462	broom beard grass, prairie grass, wire grass, Andropogon scoparius, Schizachyrium scoparium
n12070016	laelia
n12624381	flowering quince
n09874862	bridesmaid, maid of honor
n01622352	horned owl
n03732458	maxi
n13001930	shiitake, shiitake mushroom, Chinese black mushroom, golden oak mushroom, Oriental black mushroom, Lentinus edodes
n07611148	dumpling
n01824035	roadrunner, chaparral cock, Geococcyx californianus
n03193597	diesel locomotive
n03991062	pot, flowerpot
n02769075	background, desktop, screen background
n04356056	sunglasses, dark glasses, shades
n01528654	pipit, titlark, lark
n02926591	bustle
n03216828	dock, dockage, docking facility
n09638875	White, White person, Caucasian
n12985773	club fungus
n11882074	lady's smock, cuckooflower, cuckoo flower, meadow cress, Cardamine pratensis
n10084295	female child, girl, little girl
n11882426	crinkleroot, crinkle-root, crinkle root, pepper root, toothwort, Cardamine diphylla, Dentaria diphylla
n03604400	jumper, pinafore, pinny
n12008487	black-eyed Susan, Rudbeckia hirta, Rudbeckia serotina
n02978881	cassette
n04197110	shipwreck
n06595351	magazine, mag
n03123917	cowbell
n02113186	Cardigan, Cardigan Welsh corgi
n03770316	ministry
n02358890	rock squirrel, Citellus variegatus
n01851895	wild duck
n01574390	grackle, crow blackbird
n06263609	print media
n11971248	gazania
n03120491	court
n02729837	appliance
n07914413	daiquiri, rum cocktail
n03508101	heater, warmer
n02826589	bell push
n03405265	furnishing
n02806379	bat
n02381364	grey, gray
n04545858	walkie-talkie, walky-talky
n11710136	southern magnolia, evergreen magnolia, large-flowering magnolia, bull bay, Magnolia grandiflora
n03039259	clay pigeon
n02789487	bar
n02398521	hippopotamus, hippo, river horse, Hippopotamus amphibius
n03940256	pin
n09238926	cave
n03968581	plughole
n02919890	bungee, bungee cord
n04041069	radiator
n04594218	wire
n09452395	swamp, swampland
n10540114	Mountie
n01816887	parrot
n11736851	love-in-a-mist, Nigella damascena
n02165456	ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle
n03548402	hula-hoop
n02041678	mew, mew gull, sea mew, Larus canus
n01915811	coral
n03397947	Frisbee
n07724492	cos, cos lettuce, romaine, romaine lettuce
n13198914	sensitive fern, bead fern, Onoclea sensibilis
n12315598	winter hazel, flowering hazel
n12813189	black-eyed Susan, black-eyed Susan vine, Thunbergia alata
n02910353	buckle
n07585557	chicken soup
n04201297	shoji
n03397266	frigate
n11545524	pteridophyte, nonflowering plant
n11939180	balsamroot
n13035241	false morel
n02879718	bow
n03729308	matchbook
n02408817	carabao
n07804900	paddy
n09622049	juvenile, juvenile person
n12433081	onion
n03592669	jalousie
n04389854	tank engine, tank locomotive
n09943239	commissioned military officer
n04400289	telecommunication system, telecom system, telecommunication equipment, telecom equipment
n04489008	trouser, pant
n02392824	white rhinoceros, Ceratotherium simum, Diceros simus
n09245515	cirque, corrie, cwm
n03549897	hurricane lamp, hurricane lantern, tornado lantern, storm lantern, storm lamp
n07588299	split-pea soup
n12635532	Southern crab apple, flowering crab, Malus angustifolia
n04027706	pusher, zori
n10439851	player, participant
n02486410	baboon
n04609811	X-ray tube
n12063639	rattlesnake plantain, helleborine
n02974348	caryatid
n02311617	nymph
n01670802	giant tortoise
n03837422	oar
n11811706	ragged robin, cuckoo flower, Lychnis flos-cuculi, Lychins floscuculi
n04228693	ski cap, stocking cap, toboggan cap
n03732114	mausoleum
n01555809	Old World flycatcher, true flycatcher, flycatcher
n03452741	grand piano, grand
n03421485	garter stitch
n12356023	common ginger, Canton ginger, stem ginger, Zingiber officinale
n04519153	valve
n02747672	ash-pan
n12934036	astrantia, masterwort
n11963932	brittlebush, brittle bush, incienso, Encelia farinosa
n02198859	horse tick, horsefly, Hippobosca equina
n12816508	borage, tailwort, Borago officinalis
n02882301	bowling ball, bowl
n07755411	melon
n03378174	food processor
n07619208	creme caramel
n04374315	sword cane, sword stick
n04270371	speakerphone
n04038231	racing gig
n10624540	songwriter, songster, ballad maker
n04370048	sweater, jumper
n02017213	European gallinule, Porphyrio porphyrio
n03933933	pier
n02915904	bulldog clip, alligator clip
n12532564	soy, soybean, soya bean
n03408444	futon
n02960690	carabiner, karabiner, snap ring
n04369282	swatter, flyswatter, flyswat
n02709367	anchor, ground tackle
n12477747	maguey, Agave atrovirens
n03941231	pinata
n02412080	ram, tup
n02219486	ant, emmet, pismire
n02281406	sulphur butterfly, sulfur butterfly
n04530566	vessel, watercraft
n01986806	shrimp
n02691156	airplane, aeroplane, plane
n03388549	four-poster
n03063689	coffeepot
n09409512	ridge
n01641206	wood-frog, wood frog, Rana sylvatica
n13032115	morel
n07690892	scone
n03494278	harmonica, mouth organ, harp, mouth harp
n03115180	cotton
n09906449	chameleon
n03857687	oscillograph
n12643473	sour cherry, sour cherry tree, Prunus cerasus
n11640132	metasequoia, dawn redwood, Metasequoia glyptostrodoides
n02236241	praying mantis, praying mantid, Mantis religioso
n07874259	cheese pizza
n12441958	asphodel
n04250224	sniper rifle, precision rifle
n11720353	buttercup, butterflower, butter-flower, crowfoot, goldcup, kingcup
n03487886	hand pump
n02042180	laughing gull, blackcap, pewit, pewit gull, Larus ridibundus
n04485423	triptych
n04297750	stained-glass window
n03902125	pay-phone, pay-station
n07764155	mango
n03315644	facing, cladding
n08616050	pasture, pastureland, grazing land, lea, ley
n03786901	mortar
n01828096	belted kingfisher, Ceryle alcyon
n01317541	domestic animal, domesticated animal
n02692086	airplane propeller, airscrew, prop
n04447443	toiletry, toilet articles
n03463666	groundsheet, ground cloth
n09308572	iceberg, berg
n02041085	larid
n04021028	pullover, slipover
n01526521	songbird, songster
n12752205	maple
n01906749	sponge, poriferan, parazoan
n03474896	haft, helve
n10384392	orphan
n12134025	rye, Secale cereale
n11931918	aster
n03294833	eraser
n04308084	stealth aircraft
n02749479	assault rifle, assault gun
n11821184	ice plant, icicle plant, Mesembryanthemum crystallinum
n02389128	palomino
n03726993	mast
n07708398	raw vegetable, rabbit food
n11973341	gumweed, gum plant, tarweed, rosinweed
n12475242	strawflower, cornflower, Uvularia grandiflora
n01646292	bufo
n09727440	Filipino
n07745466	raspberry
n01749582	mamba
n03030880	cigarette butt
n02456962	sloth, tree sloth
n07733712	lamb's-quarter, pigweed, wild spinach
n04112752	rouge, paint, blusher
n03610524	kennel, doghouse, dog house
n03930630	pickup, pickup truck
n01827403	kingfisher
n11762433	lead tree, white popinac, Leucaena glauca, Leucaena leucocephala
n03528263	home appliance, household appliance
n01806143	peacock
n03258905	dustmop, dust mop, dry mop
n04039848	radar, microwave radar, radio detection and ranging, radiolocation
n04332074	straight razor
n02013706	limpkin, Aramus pictus
n03865557	overpass, flyover
n09736945	Ugandan
n09460046	tor
n02372584	hyrax, coney, cony, dassie, das
n02747177	ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin
n11788727	golden pothos, pothos, ivy arum, Epipremnum aureum, Scindapsus aureus
n07710283	root vegetable
n07560542	kosher
n11608250	pine, pine tree, true pine
n07735404	parsnip
n10236304	kin, kinsperson, family
n07818689	lemon balm
n12477583	maguey, cantala, Agave cantala
n04524142	vaulting horse, long horse, buck
n07716034	yellow squash
n04503413	twin bed
n01917882	mushroom coral
n02395003	swine
n07616046	frozen yogurt
n02382948	racehorse, race horse, bangtail
n02052365	Old world white pelican, Pelecanus onocrotalus
n04326799	stonework
n03416489	garage
n04403413	telephoto lens, zoom lens
n13238375	stapelia, carrion flower, starfish flower
n07742313	Granny Smith
n02404432	longhorn, Texas longhorn
n02981792	catamaran
n03983612	poplin
n01531811	redpoll, Carduelis flammea
n03871371	package store, liquor store, off-licence
n12429352	African lily, African tulip, blue African lily, Agapanthus africanus
n02889646	brake
n01859325	whooper, whooper swan, Cygnus cygnus
n12174311	althea, althaea, hollyhock
n04476116	trawler, dragger
n07739125	apple
n01550172	vermillion flycatcher, firebird, Pyrocephalus rubinus mexicanus
n04187061	sheath
n04510706	universal joint, universal
n12650379	flowering almond, Prunus triloba
n01597906	western tanager, Piranga ludoviciana
n03727465	master bedroom
n12739332	mistletoe, Viscum album, Old World mistletoe
n04398688	teaspoon
n02131653	bear
n02740533	armored vehicle, armoured vehicle
n04379964	table
n10150071	guard
n08505018	bush
n10611613	sleuth, sleuthhound
n12454705	Tulipa gesneriana
n02777734	balcony
n04178329	Seven Wonders of the Ancient World, Seven Wonders of the World
n02213239	giant hornet, Vespa crabro
n03500389	hay bale
n03613592	key
n02402175	ox, wild ox
n04462011	toy box, toy chest
n04469813	tramway, tram, aerial tramway, cable tramway, ropeway
n12942395	parsley, Petroselinum crispum
n02871439	bookshelf
n04217882	signboard, sign
n01314781	creepy-crawly
n11995092	sweet false chamomile, wild chamomile, German chamomile, Matricaria recutita, Matricaria chamomilla
n02813399	bay window, bow window
n03484576	handcuff, cuff, handlock, manacle
n01887787	cow
n04174101	serger
n07820145	rosemary
n09719309	Kenyan
n07842605	shirred egg, baked egg, egg en cocotte
n04341686	structure, construction
n04226464	skein
n03567066	incubator, brooder
n02051845	pelican
n11979527	prairie sunflower, Helianthus petiolaris
n11998888	cotton thistle, woolly thistle, Scotch thistle, Onopordum acanthium, Onopordon acanthium
n09652149	Chickasaw
n02195526	horsefly, cleg, clegg, horse fly
n01806467	green peafowl, Pavo muticus
n12754003	Oregon maple, big-leaf maple, Acer macrophyllum
n03429137	Gatling gun
n03731695	maul, sledge, sledgehammer
n09443641	spume
n11923174	mayweed, dog fennel, stinking mayweed, stinking chamomile, Anthemis cotula
n04358707	supermarket
n03418242	garden tool, lawn tool
n07891309	ginger beer
n12333771	guava, strawberry guava, yellow cattley guava, Psidium littorale
n12687957	ivy geranium, ivy-leaved geranium, hanging geranium, Pelargonium peltatum
n02876084	bosom
n03537241	horn
n03247083	dropper, eye dropper
n03164722	davenport
n09290444	gorge
n04354026	summer house
n02208498	Africanized bee, Africanized honey bee, killer bee, Apis mellifera scutellata, Apis mellifera adansonii
n03111041	cornice
n07584423	borsch, borsh, borscht, borsht, borshch, bortsch
n02940570	caller ID
n03624400	knife blade
n13054560	bolete
n07715721	summer squash
n02746365	artillery, heavy weapon, gun, ordnance
n04412097	tent-fly, rainfly, fly sheet, fly, tent flap
n01983481	American lobster, Northern lobster, Maine lobster, Homarus americanus
n03478756	hall
n03963645	playground
n03733925	measuring instrument, measuring system, measuring device
n11614713	Jeffrey pine, Jeffrey's pine, black pine, Pinus jeffreyi
n02778456	bale
n02009508	little egret, Egretta garzetta
n03613294	key
n07920989	mocha
n07889510	ale
n09303528	hillside
n01827793	Eurasian kingfisher, Alcedo atthis
n02686121	airbus
n12080820	Psychopsis papilio, Oncidium papilio
n10642596	square dancer
n01664492	Atlantic ridley, bastard ridley, bastard turtle, Lepidochelys kempii
n02028451	lesser yellowlegs, Tringa flavipes
n10701180	tennis player
n07568502	oatmeal, rolled oats
n01536186	field sparrow, Spizella pusilla
n03354207	fixer-upper
n04108822	rope bridge
n13013534	lepiota
n02091467	Norwegian elkhound, elkhound
n01673282	tuatara, Sphenodon punctatum
n03859280	outbuilding
n01579260	raven, Corvus corax
n12030908	wingstem, golden ironweed, yellow ironweed, golden honey plant, Verbesina alternifolia, Actinomeris alternifolia
n02835829	bicycle rack
n07835921	bourguignon, bourguignon sauce, Burgundy sauce
n03288500	engineering, engine room
n07868340	fried rice, Chinese fried rice
n12879963	Indian paintbrush, painted cup
n12961879	flowering fern, Helminthostachys zeylanica
n12333053	jaboticaba, jaboticaba tree, Myrciaria cauliflora
n01641577	bullfrog, Rana catesbeiana
n03686924	log cabin
n02699770	altarpiece, reredos
n04468005	train, railroad train
n12642090	wild cherry
n09332890	lakeside, lakeshore
n07757312	sweet cherry, black cherry
n01693175	sand lizard, Lacerta agilis
n02029706	upland sandpiper, upland plover, Bartramian sandpiper, Bartramia longicauda
n01730960	blacksnake, black racer, Coluber constrictor
n09475179	watercourse
n03854815	organ pipe, pipe, pipework
n09772930	adulteress, fornicatress, hussy, jade, loose woman, slut, strumpet, trollop
n02946127	campanile, belfry
n02233943	oriental cockroach, oriental roach, Asiatic cockroach, blackbeetle, Blatta orientalis
n12948053	common European dogwood, red dogwood, blood-twig, pedwood, Cornus sanguinea
n02102040	English springer, English springer spaniel
n07574923	brunch
n03005033	chancellery
n04285965	sport utility, sport utility vehicle, S.U.V., SUV
n07684084	French loaf
n07880751	taco
n07607138	chocolate kiss
n02799175	baseball bat, lumber
n03519387	high-rise, tower block
n03794056	mousetrap
n12754981	sycamore, great maple, scottish maple, Acer pseudoplatanus
n02768973	backgammon board
n07679356	bread, breadstuff, staff of life
n04581829	wick, taper
n02056728	emperor penguin, Aptenodytes forsteri
n12836212	nemophila
n02342885	hamster
n12731401	poplar, poplar tree
n12272239	Oregon white oak, Oregon oak, Garry oak, Quercus garryana
n03718581	manor hall, hall
n03899933	patisserie
n02807731	bathroom, bath
n03724756	masjid, musjid
n07688624	cornpone, pone
n02982232	catapult, launcher
n03235180	drawing room
n07624466	turnover
n01647640	western toad, Bufo boreas
n02034971	black-necked stilt, Himantopus mexicanus
n04317420	stick
n07731006	radicchio
n12242409	sorrel tree, sourwood, titi, Oxydendrum arboreum
n09454153	talus, scree
n10034614	drinker
n11927215	Arnica montana
n01679962	leopard lizard
n03129753	credenza, credence
n02836174	bidet
n03351979	fishing rod, fishing pole
n09899671	casualty, injured party
n02770211	back porch
n03885293	pant leg, trouser leg
n07864934	chili, chili con carne
n07693972	biscuit
n11786539	taro, taro plant, dalo, dasheen, Colocasia esculenta
n04003856	print
n02416519	goat, caprine animal
n03906224	pegboard
n04447861	toilet seat
n09700964	Britisher, Briton, Brit
n13001206	toadstool
n04295881	stadium, bowl, arena, sports stadium
n02999410	chain
n07828642	vanilla bean
n12340755	sour gum, black gum, pepperidge, Nyssa sylvatica
n02097209	standard schnauzer
n02790669	barbecue, barbeque
n12795555	spirea, spiraea, Astilbe japonica
n04564581	waxwork, wax figure
n02321529	sea cucumber, holothurian
n10718131	tourist, tourer, holidaymaker
n03378005	food court
n02278024	comma, comma butterfly, Polygonia comma
