n04403638	telescope
n03314608	faceplate
n03316873	factory ship
n03326371	feedlot
n03333349	field hospital
n03334492	fife
n03338287	filling
n03339296	film
n03340009	filter
n03340923	finery
n03349599	first-aid station
n03351151	fishhook
n03355468	flageolet
n03357267	flannelette
n03363363	flight simulator
n03364156	flipper
n03365374	flood
n03367321	flophouse
n03369276	flugelhorn
n03373611	flying boat
n03374570	flytrap
n03374838	fob
n03375171	foghorn
n03381231	forceps
n03381776	fore-and-aft sail
n03382104	forecastle
n03382533	fore edge
n03391613	frame buffer
n03391770	framework
n03392648	Francis turbine
n03396580	friary
n03398228	frock coat
n03399971	fruit machine
n03407369	fuse
n03411339	galleon
n03412906	gallows
n03413828	game
n03418402	garden trowel
n03420801	garrison cap
n03421117	garter
n03421324	garter belt
n03422072	gas burner
n03422771	gas engine
n03425595	gas range
n03426574	gas turbine
n03428349	gatepost
n03429003	gathered skirt
n03430091	gauze
n03430959	gear
n03431570	gearbox
n03432129	gearshift
n03433877	generator
n03436656	gig
n03436990	gig
n03437430	gilt
n03437829	girandole
n03438780	glass cutter
n03441465	glow lamp
n03443543	godown
n03445924	golfcart
n03448590	gorget
n03449858	government office
n03453320	granny knot
n03455355	graver
n03456548	greasy spoon
n03459328	griddle
n03462110	grosgrain
n03464467	guard
n03465605	guesthouse
n03468696	gun carriage
n03469832	gunnery
n03471030	gusher
n03474167	habit
n03474352	hacienda
n03474896	haft
n03477143	hairspring
n03477512	half binding
n03485309	hand grenade
n03485407	hand-held computer
n03487331	handloom
n03487533	hand luggage
n03488887	handstamp
n03492087	hansom
n03495671	harpoon
n03496296	harpsichord
n03496612	harrow
n03501152	hazard
n03501614	head
n03505667	headset
n03512147	helicopter
n03512911	helm
n03516996	heterodyne receiver
n03517509	hibachi
n03522990	hitching post
n03530511	hone
n03531447	hood
n03532919	hook
n03537085	horn
n03538300	horsecar
n03539433	horseshoe
n03539546	horseshoe
n03540267	hosiery
n03540595	hospital
n03541537	hostel
n03543112	hot pants
n03543511	hot spot
n03543945	houndstooth check
n03550289	hutch
n03553486	hydrometer
n03554460	hygrometer
n03556173	I-beam
n03556679	ice ax
n03556811	iceboat
n03558007	icepick
n03558633	ice tongs
n03559999	idle pulley
n03566730	inclinometer
n03569293	inertial guidance system
n03576215	instrument of torture
n03580615	internet
n03583419	ion engine
n03585438	irons
n03585682	iron foundry
n03586631	ironmongery
n03588951	jack
n03592931	jammer
n03593222	japan
n03596285	jet engine
n03598151	jib
n03605722	junction
n03609235	kayak
n03616763	kick starter
n03618101	king
n03621694	kite balloon
n03625539	knitting machine
n03625943	knitwear
n03628215	koto
n03629100	Kurdistan
n03635330	lame
n03637787	lancet arch
n03640850	lanolin
n03642573	lap joint
n03646148	lath
n03654826	leg
n03658858	level
n03660562	Liberty ship
n03664675	lifting device
n03668067	lightning rod
n03668279	light pen
n03668803	Lilo
n03669245	limber
n03672521	linen
n03672827	line printer
n03673450	lingerie
n03674440	linkage
n03674842	linocut
n03678879	live axle
n03684740	lockup
n03688066	long iron
n03695753	luge
n03695957	luggage carrier
n03696301	luggage rack
n03697366	lunar excursion module
n03698360	lute
n03699280	lyre
n03705379	magnet
n03707372	magnetic needle
n03710079	mailboat
n03711711	mainframe
n03722007	marker
n03723439	marriage bed
n03727067	mastaba
n03727946	mat
n03728982	match
n03730494	maternity ward
n03731019	mattock
n03733131	maypole
n03736064	meat grinder
n03744684	memory chip
n03749807	mercury thermometer
n03751065	mess
n03751269	mess jacket
n03751458	mess kit
n03752398	metal wood
n03758992	microbrewery
n03759243	microfiche
n03759661	micrometer
n03766044	miller
n03766508	millinery
n03767459	mimeograph
n03770224	minicomputer
n03775199	mixer
n03776877	moccasin
n03778817	module
n03779000	module
n03780799	moleskin
n03781244	monastery
n03782794	monkey-wrench
n03783430	monocle
n03783873	monoplane
n03785721	morion
n03786194	morning dress
n03789171	motion-picture camera
n03793850	mouse button
n03795123	mouthpiece
n03796605	mudguard
n03797264	mufti
n03799375	multistage rocket
n03799610	munition
n03814817	neckerchief
n03815278	neckline
n03815615	necktie
n03816136	needle
n03816394	needle
n03817647	negligee
n03820154	net
n03822361	newsroom
n03834040	nuclear reactor
n03838298	objective
n03843883	oil heater
n03844233	oil paint
n03850492	operating table
n03852688	optical telescope
n03854421	organdy
n03854506	organic light-emitting diode
n03855756	Orlon
n03870980	pack
n03874487	paddock
n03882611	paneling
n03885788	panty girdle
n03889503	parapet
n03889726	parasail
n03891538	parlor
n03894933	party line
n03895170	parvis
n03897943	patch
n03898129	patchcord
n03899612	patina
n03900194	patrol boat
n03900979	pavilion
n03901974	pawnbroker's shop
n03902220	PC board
n03902756	pea jacket
n03904782	pedometer
n03906106	peg
n03907475	penal colony
n03907908	penalty box
n03908111	pen-and-ink
n03909406	pendulum clock
n03911767	penlight
n03911866	pennant
n03912821	penthouse
n03914583	pepper spray
n03915118	percolator
n03917048	periscope
n03917814	permanent press
n03918737	personal digital assistant
n03920641	pet shop
n03920737	petticoat
n03923918	phonograph needle
n03929202	pick
n03931765	picture frame
n03931885	picture hat
n03935883	pilaster
n03936269	pile
n03936466	pile driver
n03943115	pinion
n03947111	pipet
n03947888	pirate
n03948950	piston
n03949317	piston rod
n03951971	pivot
n03953020	place of business
n03953901	placket
n03955809	planetarium
n03956331	planetary gear
n03957762	plasterboard
n03959014	plastron
n03961939	platform
n03963028	plating
n03965907	pleat
n03966976	pliers
n03971960	p-n junction
n03972524	pocket
n03977158	pole
n03980478	pommel horse
n03981760	pontoon bridge
n03985232	portable computer
n03986355	portfolio
n03989349	postern
n03990474	pot
n03991443	potential divider
n03991646	potentiometer
n03993403	poultice
n03994008	powder
n03995372	power drill
n03999992	press
n04012482	propjet
n04018155	public address system
n04019696	pull
n04020744	pull-off
n04025633	purdah
n04026053	purifier
n04028221	putty knife
n04029647	pyrograph
n04030414	pyxis
n04033287	queen
n04035836	quiver
n04037873	raceway
n04044307	radiotelegraph
n04045085	radio transmitter
n04047834	railroad bed
n04050600	RAM disk
n04053677	range hood
n04061681	reception desk
n04062179	reciprocating engine
n04065272	recreational vehicle
n04066767	reduction gear
n04069777	reformatory
n04070207	refracting telescope
n04070415	refractometer
n04075916	repair shop
n04076052	repeater
n04077430	reproducer
n04077889	research center
n04079933	resistor
n04080454	resonator
n04081281	restaurant
n04089152	ridge
n04090263	rifle
n04096733	roadbed
n04098795	rocker
n04100174	rod
n04101375	roll
n04102285	roller blind
n04102872	roll film
n04111190	rotating shaft
n04111962	rotor
n04113641	round
n04114428	roundhouse
n04117216	rudder
n04120842	runway
n04121728	saber saw
n04123448	sack coat
n04124488	saddlery
n04127395	safety rail
n04127633	safety valve
n04129766	sailor suit
n04131015	salon
n04133114	sampan
n04134632	sandglass
n04135024	sand wedge
n04136045	sarcophagus
n04136800	sash fastener
n04137355	sateen
n04139859	savings bank
n04141838	scale
n04142434	scalpel
n04146343	schoolbag
n04146976	school system
n04147793	scimitar
n04148054	scissors
n04149813	scoreboard
n04150371	scow
n04154938	screw thread
n04156140	scrub brush
n04157320	sculpture
n04158250	scythe
n04164002	secondary coil
n04166111	security system
n04169437	selector
n04169597	selenium cell
n04171831	semiconductor device
n04173172	sequence
n04175147	server
n04176528	set
n04178190	seventy-eight
n04179126	sewer
n04180063	sewing needle
n04180888	sextant
n04182322	shaft
n04184435	shaper
n04189651	sheet pile
n04190747	shell
n04190997	shell
n04192238	shelter
n04193883	shim
n04200537	shoehorn
n04204755	short circuit
n04205062	short iron
n04206356	shotgun
n04208760	showboat
n04211356	shutter
n04211528	shutter
n04213353	sickle
n04213530	sickroom
n04215153	sidesaddle
n04218564	silencer
n04220805	silver plate
n04221823	simulator
n04224395	siren
n04226537	skeleton
n04226962	skep
n04229480	skiff
n04229620	ski jump
n04233715	slacks
n04236001	sleeping car
n04236702	sleeve
n04241394	slipper
n04242704	slop basin
n04244847	smack
n04246459	smoke bomb
n04247011	smoke screen
n04248209	snap
n04252653	snow thrower
n04253931	soapbox
n04262678	sound recording
n04265428	space helmet
n04267091	Spandau
n04267165	spandex
n04267435	spanker
n04269270	spark plug
n04271531	specialty store
n04272389	spectator pump
n04275661	spike
n04278605	spinner
n04279172	spinning machine
n04280845	spirometer
n04280970	spit
n04282992	Spode
n04285803	sportswear
n04287747	spray gun
n04288272	spring
n04289827	sprocket
n04290259	spur
n04290507	spur gear
n04291759	square knot
n04301000	stand
n04304215	starship
n04305210	Statehouse
n04305471	state prison
n04306592	stator
n04306847	statue
n04307878	steakhouse
n04308583	steam bath
n04308807	steamboat
n04310507	steam shovel
n04310604	steam turbine
n04310721	steam whistle
n04311174	steel drum
n04312154	steelyard
n04314107	stem-winder
n04323519	stockinet
n04323819	stocking
n04328329	storage battery
n04329958	storm window
n04331443	straightedge
n04344734	studio apartment
n04344873	studio couch
n04346428	sty
n04347119	subcompact
n04350688	sugar refinery
n04351550	suite
n04353573	sulky
n04354589	sunbonnet
n04355338	sundial
n04359589	support
n04360501	support
n04361937	surcoat
n04363210	surface-to-air missile
n04368496	swallow-tailed coat
n04370456	sweatshirt
n04370600	sweatshop
n04373894	sword
n04375615	synchronous motor
n04375775	synchrotron
n04377057	system
n04382695	tachograph
n04383130	tack
n04384593	tailgate
n04384910	taillight
n04387261	tambour
n04388574	tangram
n04388743	tank
n04389718	tank destroyer
n04392985	tape player
n04395106	tartan
n04396808	tea bag
n04397027	tea cart
n04398497	teashop
n04400499	telegraph
n04400737	telegraph key
n04409279	tender
n04414101	terra cotta
n04414476	terry
n04417361	textile mill
n04419073	theodolite
n04422875	thermostat
n04426184	third rail
n04428191	thresher
n04434932	tights
n04436992	time capsule
n04438507	timer
n04443433	toboggan
n04444218	toe
n04445040	toga
n04448070	toilet water
n04449966	tomahawk
n04455250	topmast
n04455579	topper
n04456472	torpedo
n04459122	touring car
n04461696	tow truck
n04464125	track
n04464615	trackball
n04475496	trave
n04475749	trawl
n04477725	treasure ship
n04479694	trestle
n04485884	triskelion
n04486934	troll
n04490091	truck
n04491388	truncheon
n04491769	trunk
n04498523	turbine
n04502502	tweed
n04503413	twin bed
n04507326	umbrella tent
n04507453	undercarriage
n04515729	upstairs
n04516354	used-car
n04521987	varnish
n04522168	vase
n04524716	velocipede
n04524941	velour
n04525821	Venn diagram
n04529108	vernier scale
n04533199	vibrator
n04533594	vicuna
n04533946	videodisk
n04534127	video recording
n04535252	villa
n04536153	viol
n04536335	viola
n04536765	viola d'amore
n04541320	voltmeter
n04541777	von Neumann machine
n04550676	wardroom
n04555700	wastepaper basket
n04557751	water butt
n04558199	water chute
n04559994	water hazard
n04560804	water jug
n04566561	weapons carrier
n04568713	web
n04570214	Wedgwood
n04573937	wet fly
n04576002	wheelchair
n04577426	whetstone
n04579432	whistle
n04583212	wide-angle lens
n04585128	Wilton
n04585745	winch
n04586072	windbreak
n04586932	wind instrument
n04591157	Windsor tie
n04600312	workbasket
n04601938	workpiece
n04602840	works
n04604276	World Wide Web
n04608567	writing implement
n04614655	ziggurat
n04615226	zither
n04950952	wood grain
n04951071	graining
n04951373	light
n04951875	sunniness
n04959672	chromatic color
n04960277	black
n04960582	coal black
n04961331	bone
n04961691	gray
n04962062	ash grey
n04962240	charcoal
n04963111	sanguine
n04963588	crimson
n04964001	claret
n04965179	orange
n04965661	yellow
n04966543	gamboge
n04967191	green
n04967882	bottle green
n04968139	olive green
n04968749	jade green
n04968895	blue
n04969242	azure
n04969540	steel blue
n04969798	greenish blue
n04970059	purple
n04970398	indigo
n04970631	reddish purple
n04970916	pink
n04971211	carnation
n04972451	chocolate
n04972801	light brown
n04973291	beige
n04973386	reddish brown
n04973669	copper
n04974340	olive
n04976319	pigmentation
n04976952	complexion
n04979002	aposematic coloration
n05239437	skin graft
n05242928	squamous cell
n05245192	freckle
n05257476	bouffant
n05258051	forelock
n05399034	milk
n05399356	colostrum
n05418717	vein
n05449196	osteocyte
n05449959	leukocyte
n05451384	lymphocyte
n05467758	astrocyte
n05469861	dendrite
n05482922	subarachnoid space
n05486510	cerebral cortex
n06008896	coordinate axis
n06254669	medium
n06255613	paper
n06259898	channel
n06267758	school newspaper
n06273555	call-in
n06273743	call waiting
n06273986	local call
n06274092	long distance
n06274921	telegraphy
n06275095	cable
n06275353	wireless
n06275471	radiotelegraph
n06276501	radiotelephone
n06281175	signal detection
n06359467	chat room
n06470073	document
n06591815	album
n06592281	rock opera
n06592421	tribute album
n06613686	movie
n06892775	concert
n06998748	artwork
n07556970	course
n07557165	dainty
n07564971	vegetarianism
n07565259	board
n07567139	coloring
n07567707	meal
n07568095	cornmeal
n07569106	flour
n07573103	canned meat
n07574176	potluck
n07576438	picnic
n07577918	coffee break
n07581607	canape
n07581931	fruit cocktail
n07584938	bouillon
n07587618	corn chowder
n07588817	vichyssoise
n07589458	bigos
n07592094	fricassee
n07593004	pot-au-feu
n07594737	choice morsel
n07595180	caramel
n07595649	cane sugar
n07598622	hardbake
n07598734	hard candy
n07599649	bonbon
n07607361	licorice
n07607832	cachou
n07608339	nougat
n07609407	taffy
n07610746	blancmange
n07614348	water ice
n07615289	sherbert
n07615569	tutti-frutti
n07616590	split
n07618119	duff
n07624757	knish
n07624924	pirogi
n07641928	fish cake
n07650903	mince
n07672914	margarine
n07678586	mincemeat
n07680168	anadama bread
n07681264	tea bread
n07681926	cracker
n07683039	graham bread
n07683617	pita
n07685031	date bread
n07686461	salt-rising bread
n07687053	wafer
n07689313	spoon bread
n07689490	cinnamon toast
n07689842	zwieback
n07691863	soft roll
n07691954	kaiser roll
n07692517	bialy
n07693590	danish
n07694403	baking-powder biscuit
n07695187	saltine
n07695410	oyster cracker
n07695504	water biscuit
n07695652	graham cracker
n07698782	wrap
n07709046	pulse
n07709172	potherb
n07712063	sweet potato
n07719330	bamboo shoot
n07720084	sugar beet
n07726672	black-eyed pea
n07727140	navy bean
n07730708	celeriac
n07733847	wild spinach
n07735179	oyster plant
n07735687	radish
n07736087	rutabaga
n07736371	sorrel
n07738224	cling
n07740597	Empire
n07740954	McIntosh
n07741461	Pippin
n07742012	cooking apple
n07743384	huckleberry
n07743723	wintergreen
n07744430	gooseberry
n07745661	saskatoon
n07746749	ceriman
n07748276	satsuma
n07752514	dried apricot
n07752664	raisin
n07752782	seedless raisin
n07756325	honeydew
n07764315	sapodilla
n07768230	bartlett
n07773428	coconut milk
n07801091	eatage
n07803093	barley
n07803310	buckwheat
n07804543	brown rice
n07805254	mash
n07805731	petfood
n07805966	dog food
n07806879	Caesar salad
n07807317	combination salad
n07807594	potato salad
n07808022	Waldorf salad
n07810907	condiment
n07812790	lemon oil
n07813107	salt
n07813324	celery salt
n07814007	allspice
n07814790	fennel
n07814925	ginger
n07815163	ginger
n07819303	mustard seed
n07819480	mustard
n07820297	rue
n07821610	tarragon
n07823591	mint sauce
n07823814	curry powder
n07824502	marinade
n07825850	applesauce
n07826250	tomato paste
n07826340	angelica
n07826453	angelica
n07826653	anise
n07830690	hard sauce
n07832592	ravigote
n07837545	cream sauce
n07839478	roux
n07839730	Soubise
n07840395	curry sauce
n07840520	Worcester sauce
n07840672	coconut milk
n07841037	egg white
n07843348	western omelet
n07845702	raw milk
n07845863	homogenized milk
n07846143	powdered milk
n07846471	condensed milk
n07846557	skim milk
n07846802	whole milk
n07848093	sour cream
n07849912	curd
n07850083	curd
n07851298	cream cheese
n07851554	mascarpone
n07851767	cottage cheese
n07852045	bleu
n07852919	cheddar
n07853762	grated cheese
n07854348	Parmesan
n07854614	ricotta
n07860629	miraculous food
n07864638	Tetrazzini
n07867883	fondue
n07869291	ham and eggs
n07869937	kedgeree
n07870069	souvlaki
n07872593	moussaka
n07873057	marrow
n07874995	oatmeal
n07875086	loblolly
n07877675	steak tartare
n07882886	mix
n07883384	elixir
n07888909	malt
n07889990	Burton
n07896765	Moselle
n07898895	Tokay
n07900406	fortified wine
n07900958	sherry
n07901355	Marsala
n07903543	applejack
n07904637	sloe gin
n07910379	maraschino
n07910538	pastis
n07913774	cobbler
n07913882	collins
n07914777	spritzer
n07915491	julep
n07915918	margarita
n07916319	vodka martini
n07917272	screwdriver
n07917507	Scotch and soda
n07917618	sling
n07918028	sour
n07918193	whiskey sour
n07918309	stinger
n07918706	swizzle
n07919165	zombie
n07919894	drip coffee
n07920663	instant coffee
n07924560	grape juice
n07925116	pineapple juice
n07925229	lemon juice
n07925327	lime juice
n07925500	tomato juice
n07926250	lemonade
n07926442	orangeade
n07926920	mulled wine
n07927836	bitter lemon
n07928163	cream soda
n07931452	planter's punch
n07931612	White Russian
n07932039	eggnog
n07934530	black tea
n07934800	Darjeeling
n07936015	spring water
n07942152	people
n07951464	collection
n07954211	book
n08182379	crowd
n08238463	class
n08242223	core
n08249459	concert band
n08256735	wedding
n08376250	chain
n08539276	outskirts
n08540532	borough
n08571642	firebreak
n08613733	outdoors
n08640962	rough
n08645212	weald
n08663703	desktop
n08663860	top
n08679167	high-water mark
n08685188	zodiac
n09193551	alluvial flat
n09206985	ascent
n09213565	bank
n09214916	barrier reef
n09231117	caldera
n09262690	dale
n09264803	delta
n09267854	divot
n09268007	divot
n09270657	drumlin
n09279986	fireball
n09289596	glen
n09300306	gully
n09309168	ice floe
n09315159	ion
n09319604	isthmus
n09337048	leak
n09337253	ledge
n09344198	lowland
n09349648	meander
n09353815	microfossil
n09389867	perforation
n09391386	photosphere
n09400987	pulsar
n09403427	rainbow
n09405787	ravine
n09410224	rift valley
n09411295	ripple mark
n09421031	saltpan
n09439032	snowfield
n09439213	soapsuds
n09442595	spit
n09444783	star
n09452291	swale
n09463226	tundra
n09470222	vein
n09478210	whinstone
n09495962	gryphon
n09537660	messiah
n09606009	adventurer
n09608709	benefactor
n09613191	contestant
n09624559	mediator
n09635973	Aryan
n09639919	Semite
n09640715	Elamite
n09643799	gook
n09644657	Tatar
n09648743	Nahuatl
n09654518	Delaware
n09663999	Oneida
n09665367	Penobscot
n09679170	gentile
n09679925	Catholic
n09681107	Uniat
n09681234	Copt
n09696763	French Canadian
n09701148	English person
n09706029	Finn
n09708889	Parisienne
n09709673	Creole
n09710164	Greek
n09715165	Irishman
n09716047	Italian
n09720033	Lapp
n09726621	South American Indian
n09729062	Muscovite
n09736798	Uzbek
n09738400	American
n09748101	East German
n09748648	Prussian
n09754217	abbess
n09756049	abettor
n09759501	academician
n09760913	accompanist
n09764201	acquirer
n09765278	actor
n09769076	addict
n09771435	admirer
n09773962	advertiser
n09778783	agitator
n09782167	alcoholic
n09785659	alpinist
n09785891	altar boy
n09787534	ambassador
n09791816	anarchist
n09805151	archbishop
n09809538	army engineer
n09814488	assemblywoman
n09816654	assistant professor
n09820044	atheist
n09822830	attorney general
n09823832	au pair girl
n09824135	authoritarian
n09824609	authority
n09830400	backbencher
n09830629	backpacker
n09833751	balancer
n09833997	balker
n09840435	baron
n09842395	Basket Maker
n09842823	bastard
n09843602	bather
n09843716	batman
n09843824	baton twirler
n09845849	beatnik
n09848489	believer
n09850760	berserker
n09851165	best
n09861863	boatbuilder
n09863031	bodyguard
n09864632	bombshell
n09866817	bootblack
n09869317	bounty hunter
n09869578	Bourbon
n09871095	slugger
n09876701	Brother
n09877288	brother-in-law
n09885866	cabinetmaker
n09886403	caddie
n09886540	cadet
n09889170	calligrapher
n09889691	campaigner
n09890192	camp follower
n09892693	captain
n09893344	captain
n09895222	careerist
n09901642	caterer
n09902353	cavalryman
n09902731	caveman
n09902851	celebrant
n09904837	centrist
n09906704	champion
n09911226	charwoman
n09912681	cheapskate
n09917214	chief of staff
n09927089	cleaner
n09929577	clinician
n09931165	clown
n09931418	coach
n09931640	coach
n09932336	coachman
n09936892	college student
n09941089	comer
n09941571	commander
n09942697	commissar
n09943811	commissioner
n09944160	committee member
n09945319	communist
n09953350	confectioner
n09954639	confidant
n09958292	Anglican
n09960688	contractor
n09961739	convener
n09968652	cotter
n09968845	counselor
n09971839	courtier
n09972587	cow
n09975425	craftsman
n09976917	creep
n09980985	croupier
n09981278	crown princess
n09982152	cuckold
n09985809	cyberpunk
n09986700	Cynic
n09994673	deacon
n10000787	delegate
n10001217	deliveryman
n10001764	demigod
n10015215	director
n10019072	district attorney
n10019187	district manager
n10023264	doge
n10026976	dosser
n10028402	down-and-out
n10030277	dramatist
n10033412	dressmaker
n10035952	drug addict
n10037080	drunk
n10039271	duffer
n10041373	earl
n10041887	earner
n10044879	editor
n10048367	elder
n10055297	enchantress
n10057271	endorser
n10058962	enlisted woman
n10061043	envoy
n10061882	epidemiologist
n10063635	Eskimo
n10068234	examiner
n10069981	executive secretary
n10070563	exhibitor
n10077879	fanatic
n10080869	father
n10082423	Fauve
n10082997	federalist
n10086383	fielder
n10091349	fire chief
n10094584	flag officer
n10095265	flanker back
n10095420	flapper
n10095869	flatterer
n10097995	flower girl
n10099375	follower
n10102800	forefather
n10105733	forward
n10106387	foster-father
n10106509	foster-mother
n10107303	founder
n10109443	freak
n10115430	fullback
n10117415	gagman
n10123122	gendarme
n10126177	generator
n10126424	geneticist
n10131815	gladiator
n10134760	godfather
n10134982	godparent
n10140597	governor general
n10140929	graduate nurse
n10147710	grocer
n10149867	prison guard
n10150940	guest
n10151133	guest
n10151570	guide
n10152616	guru
n10152763	guru
n10154186	Gypsy
n10157271	half blood
n10159289	handyman
n10162354	hatmaker
n10165448	hearer
n10168584	heir
n10169241	heir presumptive
n10170060	hire
n10171456	herbalist
n10173410	heroine
n10174330	highbrow
n10186068	horse trader
n10187491	hostess
n10188715	housekeeper
n10188957	housemate
n10191613	humanitarian
n10194231	ex-husband
n10196404	iceman
n10198437	idol
n10204177	industrialist
n10205231	inferior
n10208847	inspector
n10209731	insurance broker
n10210648	interior designer
n10210911	interlocutor
n10212501	interpreter
n10212780	interpreter
n10215623	investigator
n10216106	investor
n10218164	Jack of all trades
n10220080	Javanese
n10221312	jester
n10222497	jobber
n10224578	journalist
n10227266	junior
n10227490	Junior
n10227985	jurist
n10228468	justice of the peace
n10233248	kingmaker
n10235024	king
n10240235	know-it-all
n10244913	land agent
n10245863	landscape architect
n10248008	Latin
n10249950	lawyer
n10251329	lazybones
n10252222	lector
n10259348	lieutenant
n10260473	lieutenant junior grade
n10276045	lumberman
n10277027	pyromaniac
n10280674	magician
n10281896	mahatma
n10283366	major
n10284064	maker
n10293590	marchioness
n10296444	martinet
n10297234	mascot
n10297367	masochist
n10297531	mason
n10297841	masquerader
n10298647	master
n10298912	master
n10300041	mate
n10308066	nonmember
n10308275	clansman
n10313441	mezzo-soprano
n10314836	midwife
n10318607	millionairess
n10329035	monologist
n10333317	mother-in-law
n10341343	music teacher
n10342367	mute
n10344319	namby-pamby
n10345422	narcissist
n10353355	nephew
n10355688	newcomer
n10356877	newsreader
n10359546	Nobelist
n10362319	nonsmoker
n10368291	nursling
n10368624	nymphet
n10369528	observer
n10373525	Federal
n10376890	old-timer
n10378780	operator
n10380126	optimist
n10383094	organization man
n10383505	organizer
n10386874	outfielder
n10394786	paleontologist
n10396337	panhandler
n10400108	parishioner
n10400437	Parliamentarian
n10403876	passenger
n10407310	patriot
n10410996	peasant
n10411867	pederast
n10418101	personification
n10419630	pest
n10421470	pharmacist
n10421956	philanthropist
n10427223	photojournalist
n10428004	physicist
n10432957	pillar
n10441037	playmate
n10441694	pledger
n10443032	plumber
n10455619	portraitist
n10456138	positivist
n10458111	problem solver
n10461060	poultryman
n10464052	prayer
n10471640	prima ballerina
n10473917	Prince of Wales
n10474064	princess
n10474645	principal
n10476467	private
n10481268	programmer
n10495555	pusher
n10495756	pusher
n10497645	quadruplet
n10499355	queen
n10500419	queen consort
n10506336	ramrod
n10506544	ranch hand
n10513938	redneck
n10516527	registered nurse
n10519126	anchorite
n10519984	remover
n10520544	renegade
n10523341	reservist
n10525436	retailer
n10530959	right-hander
n10531109	right-hand man
n10531838	ringleader
n10533983	roarer
n10537708	Romanov
n10542608	runner
n10544748	saboteur
n10546428	sailing master
n10546633	sailor
n10551576	sapper
n10559508	schoolfriend
n10564098	screen actor
n10567722	seasonal worker
n10569011	second lieutenant
n10574538	secularist
n10575787	seeker
n10578162	seminarian
n10579549	senior vice president
n10582604	server
n10585217	sexton
n10588965	shepherd
n10594857	shyster
n10595647	sick person
n10604634	skeptic
n10605253	skier
n10617024	snob
n10618848	socialist
n10624437	songstress
n10629647	Spanish American
n10629939	sparring partner
n10636488	spinster
n10639637	sports announcer
n10646780	stammerer
n10648696	star
n10654932	stepparent
n10656120	stiff
n10661002	stranger
n10661563	strategist
n10661732	straw boss
n10669991	subordinate
n10671736	successor
n10672662	suffragette
n10674130	suitor
n10675609	super heavyweight
n10676018	superior
n10676434	supermom
n10680609	surveyor
n10683675	swinger
n10684146	switcher
n10685398	sylph
n10686073	sympathizer
n10688356	tactician
n10693824	taxonomist
n10700201	tenant
n10702615	terror
n10703336	testator
n10712229	tinkerer
n10719132	town crier
n10720453	trader
n10720964	trade unionist
n10727458	Treasury
n10728233	trend-setter
n10728998	trier
n10732967	tumbler
n10735984	umpire
n10742005	usherette
n10744164	vacationer
n10747119	vegetarian
n10750031	vicar
n10753339	vigilante
n10756641	visionary
n10759331	volunteer
n10761326	voyeur
n10763075	waif
n10765679	wanderer
n10773665	welder
n10773800	welfare case
n10781817	wimp
n10782791	winner
n10783539	winker
n10788852	woman
n10791115	working girl
n10792335	worshiper
n10792856	wrecker
n11511327	facula
n11547855	spore
n11552133	cryptogam
n11598886	mahuang
n11601177	sago palm
n11621727	white fir
n11632619	Italian cypress
n11645590	Wollemi pine
n11646344	norfolk island pine
n11660300	Japanese umbrella pine
n11662371	Japanese yew
n11668117	monocot
n11677485	stylopodium
n11677902	carpophore
n11682659	gemma
n11683838	nectary
n11685621	silique
n11691046	corolla
n11692792	thistledown
n11693981	custard apple
n11695974	ilang-ilang
n11700864	allspice
n11701066	Carolina allspice
n11702713	katsura tree
n11704620	camphor tree
n11707229	sassafras
n11714382	nutmeg
n11717399	lotus
n11720891	water crowfoot
n11722621	cursed crowfoot
n11723452	wolfsbane
n11741350	wax myrtle
n11741797	bayberry
n11748811	peanut
n11761650	inga
n11767877	Indian hemp
n11782036	alocasia
n11785875	Caladium bicolor
n11791341	philodendron
n11799732	ginseng
n11800236	ginseng
n11808299	sweet William
n11824146	pigweed
n11828577	lamb's-quarters
n11828973	good-king-henry
n11832214	beet
n11832480	beetroot
n11846765	epiphyllum
n11849271	mescal
n11855553	poke
n11858077	common purslane
n11869689	watercress
n11877283	kohlrabi
n11877646	turnip
n11878283	mustard
n11894558	jointed charlock
n11919447	ragweed
n11928858	mugwort
n11930788	western mugwort
n11943992	China aster
n11953884	plume thistle
n11955532	blessed thistle
n11957678	calliopsis
n11966896	Philadelphia fleabane
n11968931	boneset
n11979715	Jerusalem artichoke
n12008749	cutleaved coneflower
n12009047	golden glow
n12013035	black salsify
n12019035	milkweed
n12023108	feverfew
n12024176	dandelion
n12036226	samara
n12048928	calanthe
n12087961	yam
n12099342	sea lavender
n12105125	wheatgrass
n12107970	foxtail
n12108871	tall oat grass
n12109827	oat
n12112609	buffalo grass
n12117695	barnyard grass
n12124818	perennial ryegrass
n12130549	timothy
n12131405	bluegrass
n12138248	kaoliang
n12141385	grain
n12146311	zoysia
n12151170	galingale
n12156679	bur reed
n12157056	kernel
n12159804	zucchini
n12165758	squirting cucumber
n12166424	luffa
n12167602	balsam pear
n12180168	mahoe
n12186839	Indian mallow
n12196694	kurrajong
n12204032	Japanese linden
n12226932	heath
n12227658	tree heath
n12229651	bog rosemary
n12236546	huckleberry
n12237486	kalmia
n12246037	European cranberry
n12246232	blueberry
n12262553	chestnut
n12263204	European chestnut
n12263738	Allegheny chinkapin
n12263987	Ozark chinkapin
n12274863	blackjack oak
n12275317	Japanese oak
n12282527	silver birch
n12288823	hazelnut
n12289433	cobnut
n12303462	ash
n12307076	winter jasmine
